param,min,max,model
R0,2.06,2.11,SIRS.bd
D,3.35,3.71,SIRS.bd
L,369,391,SIRS.bd
S,48780,76160,SIRS.bd
SF,0.75,1.25,SIRS.bd
Iexp,0.97,0.97,SIRS.bd
I,895.205911656766,895.205911656766,SIRS.bd
R0,2.06,2.11,SIRS.bd.climate
R0max,2.13,2.67,SIRS.bd.climate
R0diff,0.65,1.09,SIRS.bd.climate
qmin,2.1,3.4,SIRS.bd.climate
qmax,18,19,SIRS.bd.climate
qmid,10,12.2,SIRS.bd.climate
Tc,20.16,24.47,SIRS.bd.climate
Tdiff,1.34,5.31,SIRS.bd.climate
Texp,0.78,1.33,SIRS.bd.climate
D,3.87,4.98,SIRS.bd.climate
L,310,451,SIRS.bd.climate
S,67030,77610,SIRS.bd.climate
SF,0.75,1.25,SIRS.bd.climate
Iexp,0.97,0.97,SIRS.bd.climate
I,895.205911656766,895.205911656766,SIRS.bd.climate
R0,2.06,2.11,SIRS.bd.climate.normalized
R0max,2.13,2.67,SIRS.bd.climate.normalized
R0diff,0.65,1.09,SIRS.bd.climate.normalized
qmin,2.1,3.4,SIRS.bd.climate.normalized
qmax,18,19,SIRS.bd.climate.normalized
qmid,10,12.2,SIRS.bd.climate.normalized
Tc,20.16,24.47,SIRS.bd.climate.normalized
Tdiff,1.34,5.31,SIRS.bd.climate.normalized
Texp,0.78,1.33,SIRS.bd.climate.normalized
D,3.87,4.98,SIRS.bd.climate.normalized
L,310,451,SIRS.bd.climate.normalized
S,67030,77610,SIRS.bd.climate.normalized
SF,0.75,1.25,SIRS.bd.climate.normalized
Iexp,0.97,0.97,SIRS.bd.climate.normalized
I,895.205911656766,895.205911656766,SIRS.bd.climate.normalized
R0,2.06,2.11,SIRS.bd.climate.stepL
R0max,2.27,2.66,SIRS.bd.climate.stepL
R0diff,0.72,1.12,SIRS.bd.climate.stepL
qmin,2.1,3.7,SIRS.bd.climate.stepL
qmax,17,19,SIRS.bd.climate.stepL
qmid,10.2,12.6,SIRS.bd.climate.stepL
Tc,20.52,23.87,SIRS.bd.climate.stepL
Tdiff,0.77,4.46,SIRS.bd.climate.stepL
Texp,0.78,1.34,SIRS.bd.climate.stepL
D,3.67,4.9,SIRS.bd.climate.stepL
L,374,567,SIRS.bd.climate.stepL
Lshort,82,336,SIRS.bd.climate.stepL
percLshort,6e-4,0.29,SIRS.bd.climate.stepL
S,66020,79360,SIRS.bd.climate.stepL
SF,0.75,1.25,SIRS.bd.climate.stepL
Iexp,0.97,0.97,SIRS.bd.climate.stepL
I,895.205911656766,895.205911656766,SIRS.bd.climate.stepL
R0,2.06,2.11,SIRS.bd.climate.stepL.normalized
R0max,2.27,2.66,SIRS.bd.climate.stepL.normalized
R0diff,0.72,1.12,SIRS.bd.climate.stepL.normalized
qmin,2.1,3.7,SIRS.bd.climate.stepL.normalized
qmax,17,19,SIRS.bd.climate.stepL.normalized
qmid,10.2,12.6,SIRS.bd.climate.stepL.normalized
Tc,20.52,23.87,SIRS.bd.climate.stepL.normalized
Tdiff,0.77,4.46,SIRS.bd.climate.stepL.normalized
Texp,0.78,1.34,SIRS.bd.climate.stepL.normalized
D,3.67,4.9,SIRS.bd.climate.stepL.normalized
L,374,567,SIRS.bd.climate.stepL.normalized
Lshort,82,336,SIRS.bd.climate.stepL.normalized
percLshort,6e-4,0.29,SIRS.bd.climate.stepL.normalized
S,66020,79360,SIRS.bd.climate.stepL.normalized
SF,0.75,1.25,SIRS.bd.climate.stepL.normalized
Iexp,0.97,0.97,SIRS.bd.climate.stepL.normalized
I,895.205911656766,895.205911656766,SIRS.bd.climate.stepL.normalized
R0,2.06,2.11,SIRS.bd.stepL
R0max,2.27,2.66,SIRS.bd.stepL
R0diff,0.72,1.12,SIRS.bd.stepL
qmin,2.1,3.7,SIRS.bd.stepL
qmax,17,19,SIRS.bd.stepL
qmid,10.2,12.6,SIRS.bd.stepL
Tc,20.52,23.87,SIRS.bd.stepL
Tdiff,0.77,4.46,SIRS.bd.stepL
Texp,0.78,1.34,SIRS.bd.stepL
D,3.67,4.9,SIRS.bd.stepL
L,374,567,SIRS.bd.stepL
Lshort,82,336,SIRS.bd.stepL
percLshort,6e-4,0.29,SIRS.bd.stepL
S,66020,79360,SIRS.bd.stepL
SF,0.75,1.25,SIRS.bd.stepL
Iexp,0.97,0.97,SIRS.bd.stepL
I,895.205911656766,895.205911656766,SIRS.bd.stepL
